Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.190000,4.240000,4.020000,4.100000,4.100000,1789000
2021-01-05,4.080000,4.150000,3.975000,3.980000,3.980000,2494600
2021-01-06,4.010000,4.130000,3.945000,4.070000,4.070000,3662700
2021-01-07,4.110000,4.150000,3.950000,3.960000,3.960000,4061500
2021-01-08,3.950000,4.020000,3.890000,3.960000,3.960000,2145800
2021-01-11,3.900000,3.940000,3.830000,3.870000,3.870000,1908100
2021-01-12,3.920000,3.970000,3.825000,3.890000,3.890000,3848300
2021-01-13,3.950000,4.360000,3.840000,4.290000,4.290000,7449000
2021-01-14,4.370000,4.730000,4.170000,4.730000,4.730000,5066200
2021-01-15,4.970000,5.170000,4.820000,4.860000,4.860000,6542700
2021-01-19,4.880000,5.060000,4.750000,4.970000,4.970000,5068000
2021-01-20,4.950000,5.080000,4.810000,4.850000,4.850000,2494400
2021-01-21,4.940000,4.940000,4.745000,4.845000,4.845000,2054200
2021-01-22,4.810000,4.915000,4.770000,4.820000,4.820000,4960400
2021-01-25,4.940000,5.185000,4.785000,5.160000,5.160000,3530300
2021-01-26,5.320000,5.400000,5.110000,5.270000,5.270000,4804400
2021-01-27,5.190000,5.360000,4.830000,4.830000,4.830000,4344800
2021-01-28,4.790000,5.010000,4.580000,4.780000,4.780000,4073200
2021-01-29,4.880000,5.255000,4.770000,4.800000,4.800000,4820900
2021-02-01,4.850000,5.050000,4.770000,5.020000,5.020000,2605100
2021-02-02,5.100000,5.115000,4.860000,5.090000,5.090000,2025500
2021-02-03,5.120000,5.170000,4.960000,4.980000,4.980000,2271700
2021-02-04,4.990000,5.065000,4.880000,4.910000,4.910000,1807700
2021-02-05,5.215000,5.730000,4.930000,5.320000,5.320000,6237800
2021-02-08,5.320000,5.570000,5.190000,5.510000,5.510000,3679500
2021-02-09,5.520000,5.590000,5.360000,5.470000,5.470000,1417200
2021-02-10,5.550000,5.620000,5.220000,5.350000,5.350000,2596700
2021-02-11,4.830000,4.990000,4.760000,4.850000,4.850000,11801100
2021-02-12,4.850000,4.900000,4.600000,4.640000,4.640000,5214200
2021-02-16,4.800000,4.800000,4.570000,4.670000,4.670000,4887500
2021-02-17,4.750000,4.910000,4.620000,4.890000,4.890000,6925200
2021-02-18,4.860000,5.030000,4.700000,4.890000,4.890000,4838700
2021-02-19,4.920000,5.160000,4.870000,5.050000,5.050000,5533400
2021-02-22,5.000000,5.040000,4.790000,4.790000,4.790000,5462400
2021-02-23,4.680000,4.870000,4.540000,4.625000,4.625000,3698900
2021-02-24,4.700000,4.880000,4.630000,4.855000,4.855000,1493900
2021-02-25,4.810000,4.910000,4.580000,4.600000,4.600000,1943900
2021-02-26,4.650000,4.710000,4.440000,4.590000,4.590000,2052600
2021-03-01,4.600000,5.040000,4.540000,4.950000,4.950000,2744400
2021-03-02,4.900000,4.960000,4.670000,4.680000,4.680000,3357500
2021-03-03,4.720000,4.845000,4.590000,4.590000,4.590000,2241500
2021-03-04,4.580000,4.740000,4.460000,4.650000,4.650000,3217800
2021-03-05,4.660000,4.720000,4.215000,4.610000,4.610000,4445600
2021-03-08,4.650000,4.895000,4.600000,4.670000,4.670000,2239400
2021-03-09,4.720000,4.990000,4.670000,4.880000,4.880000,2518700
2021-03-10,4.990000,4.990000,4.750000,4.920000,4.920000,2372800
2021-03-11,4.450000,4.520000,4.320000,4.400000,4.400000,4797700
2021-03-12,4.360000,4.590000,4.310000,4.440000,4.440000,3047200
2021-03-15,4.475000,4.485000,4.330000,4.420000,4.420000,2280100
2021-03-16,4.390000,4.450000,4.120000,4.270000,4.270000,3554800
2021-03-17,4.230000,4.365000,4.160000,4.320000,4.320000,3316900
2021-03-18,4.290000,4.390000,4.070000,4.090000,4.090000,4624600
2021-03-19,4.120000,4.325000,4.080000,4.280000,4.280000,7698900
2021-03-22,4.340000,4.370000,4.180000,4.240000,4.240000,2538700
